model,release_price
아디다스 스페지알 핸드볼 코어 블랙 화이트,139000
조던 1 레트로 로우 OG 쉐도우,169000
(W) 조던 1 로우 앤트러사이트 세일,139000
아식스 젤 벤쳐 6 SPS 페퍼 블랙,99000
오니츠카 타이거 멕시코 66 슬립온 옐로우 블랙,124400
아디다스 가젤 컬리지에이트 네이비,109000
아식스 젤 퀀텀 키네틱 그래파이트 그레이 블랙,299000
아식스 노바블라스트 4 블랙 그래파이트 그레이 - 2E 와이드,193600
조던 4 레트로 브레드 리이매진드,249000
(W) 나이키 덩크 로우 빈티지 블랙 앤 화이트,159000
아디다스 가젤 인도어 컬리지에이트 그린,169000
나이키 에어 줌 페가수스 40 블랙 아이언 그레이,149000
살로몬 XA 프로 3D 블랙 마그넷,207400
컨버스 척 70 로우 파치먼트,95000
아디다스 시티 마라톤 PT 베이지 네이비,119000
살로몬 XT-윙스 2 루나 락 그레이,0
아식스 윈잡 CP215 블랙,129000
나이키 x 티파니 앤 코 에어포스 1 로우 SP 1837,529000
나이키 줌 보메로 5 SP 앤트러사이트 2023,189000
아디다스 삼바 비건 화이트 블랙,139000
에르메스 바운싱 스니커즈 카프스킨 스웨이드 고트스킨 & 블랑,0
크록스 클래식 클로그 화이트,59900
아식스 젤 1130 화이트 샤크 스킨,109000
나이키 줌 플라이 5 엘리우드 킵초게,189000
나이키 리액트X 인피니티 런 4 화이트,221200
아식스 젤 퀀텀 키네틱 미드 그레이 퓨어 실버,299000
나이키 코르테즈 화이트 캠프파이어 오렌지,124400
아디다스 x 스포티 앤 리치 삼바 OG 클라우드 화이트 컬리지에이트 버건디,149000
(W) 킨 재스퍼 스웨이드 스니커즈 실버 밍크,159000
(W) 조던 1 로우 UNC 유니버시티 블루,119000
아식스 x 키스 GT-2160 크림 스카라브,193600
조던 3 x 제이 발빈 레트로 SP 리오,299000
아식스 GT-2160 화이트 퍼티,139000
(W) 나이키 코르테즈 빈티지 블랙 세일,0
뉴발란스 990v6 메이드 인 USA 블랙 화이트,276600
나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈,219000
푸마 x 오픈 Yy 스피드캣 위스프 오브 핑크 캐모마일,159000
아식스 메타스피드 스카이 파리 선라이즈 레드 블랙,299000
(W) 호카 호파라 2 블랙,179000
클락스 왈라비 블랙 스웨이드,258000
버켄스탁 보스턴 소프트 풋베드 모카 - 레귤러,169000
(W) 나이키 코트 비전 알타 화이트,89000
살로몬 x 샌디 리앙 RX 모크 3.0 블랙 화이트,148000
뉴발란스 2002R 프리미엄 빈티지 블랙,189000
아디다스 아디폼 슈퍼스타 코어 블랙 클라우드 화이트,89000
크록스 바야 클로그 블랙,59900
아디다스 이지 부스트 350 V2 지브라 2022/2023,319000
(W) 나이키 에어 줌 알파플라이 넥스트% 3 볼트,329000
나이키 터미네이터 하이 유니버시티 레드 앤 화이트,169000
(W) 컨버스 척 테일러 올스타 리프트 로우 화이트 블랙,89900
(W) 아식스 x 에미 젤 NYC 화이트 허들 옐로우,189000
오니츠카 타이거 토쿠텐 번트 그린,0
아디다스 삼바 OG 나이트 네이비 크림 화이트,0
나이키 에어포스 1 '07 LV8 로우 트리플 레드,139000
(W) 나이키 P-6000 트리플 블랙,129000
