model,total
조던 1 레트로 로우 OG 쉐도우,3727
(W) 조던 1 로우 앤트러사이트 세일,249
아식스 젤 벤쳐 6 SPS 페퍼 블랙,949
오니츠카 타이거 멕시코 66 슬립온 옐로우 블랙,989
아디다스 가젤 컬리지에이트 네이비,439
아식스 젤 퀀텀 키네틱 그래파이트 그레이 블랙,328
아식스 노바블라스트 4 블랙 그래파이트 그레이 - 2E 와이드,163
조던 4 레트로 브레드 리이매진드,809
(W) 나이키 덩크 로우 빈티지 블랙 앤 화이트,630
아디다스 가젤 인도어 컬리지에이트 그린,261
나이키 에어 줌 페가수스 40 블랙 아이언 그레이,1268
살로몬 XA 프로 3D 블랙 마그넷,106
컨버스 척 70 로우 파치먼트,5096
아디다스 시티 마라톤 PT 베이지 네이비,255
살로몬 XT-윙스 2 루나 락 그레이,303
아식스 윈잡 CP215 블랙,11
나이키 x 티파니 앤 코 에어포스 1 로우 SP 1837,2776
나이키 줌 보메로 5 SP 앤트러사이트 2023,1076
아디다스 삼바 비건 화이트 블랙,569
에르메스 바운싱 스니커즈 카프스킨 스웨이드 고트스킨 & 블랑,24
크록스 클래식 클로그 화이트,3250
아식스 젤 1130 화이트 샤크 스킨,65
나이키 줌 플라이 5 엘리우드 킵초게,444
나이키 리액트X 인피니티 런 4 화이트,2617
아식스 젤 퀀텀 키네틱 미드 그레이 퓨어 실버,1401
나이키 코르테즈 화이트 캠프파이어 오렌지,547
아디다스 x 스포티 앤 리치 삼바 OG 클라우드 화이트 컬리지에이트 버건디,210
(W) 킨 재스퍼 스웨이드 스니커즈 실버 밍크,113
(W) 조던 1 로우 UNC 유니버시티 블루,2695
아식스 x 키스 GT-2160 크림 스카라브,166
조던 3 x 제이 발빈 레트로 SP 리오,926
아식스 GT-2160 화이트 퍼티,422
(W) 나이키 코르테즈 빈티지 블랙 세일,247
뉴발란스 990v6 메이드 인 USA 블랙 화이트,8633
나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈,5443
푸마 x 오픈 Yy 스피드캣 위스프 오브 핑크 캐모마일,320
아식스 메타스피드 스카이 파리 선라이즈 레드 블랙,874
(W) 호카 호파라 2 블랙,604
클락스 왈라비 블랙 스웨이드,646
버켄스탁 보스턴 소프트 풋베드 모카 - 레귤러,136
(W) 나이키 코트 비전 알타 화이트,338
살로몬 x 샌디 리앙 RX 모크 3.0 블랙 화이트,188
뉴발란스 2002R 프리미엄 빈티지 블랙,1420
아디다스 아디폼 슈퍼스타 코어 블랙 클라우드 화이트,13113
크록스 바야 클로그 블랙,2315
아디다스 이지 부스트 350 V2 지브라 2022/2023,9780
(W) 나이키 에어 줌 알파플라이 넥스트% 3 볼트,12245
나이키 터미네이터 하이 유니버시티 레드 앤 화이트,39
(W) 컨버스 척 테일러 올스타 리프트 로우 화이트 블랙,5638
(W) 아식스 x 에미 젤 NYC 화이트 허들 옐로우,51
오니츠카 타이거 토쿠텐 번트 그린,4
아디다스 삼바 OG 나이트 네이비 크림 화이트,1832
나이키 에어포스 1 '07 LV8 로우 트리플 레드,11939
(W) 나이키 P-6000 트리플 블랙,1050
반스 슬립온 체커보드,5742
(W) 나이키 코르테즈 TXT 소프트 옐로우 코코넛 밀크,21
(W) 아디다스 스페지알 핸드볼 원더 실버 오프 화이트,94
나이키 x 빌리 아일리시 에어 알파 포스 88 블랙 앤 화이트,2031
(W) 킨 샨티 펀 메를로,10
(W) 아식스 젤 카하나 8 화이트 핑크,42
뉴발란스 530 실버 그레이,2645
메종 미하라 야스히로 피터슨 OG 솔 캔버스 로우 스니커즈 화이트,1189
크록스 에코 클로그 스투코,54
조던 1 x 트래비스 스캇 레트로 로우 골프 NRG 뉴트럴 올리브,1563
(W) 아디다스 가젤 인도어 볼드 오렌지 클라우드 화이트,1136
아식스 노바블라스트 4 화이트,1105
크록스 x 나루토 클래식 클로그 카카시,29
(W) 조던 1 엘리베이트 로우 화이트 앤 울프 그레이,3129
오클리 엣지 아이콘 블랙아웃,8
뉴발란스 574 헤리티지 그래스 그린,249
(W) 나이키 P-6000 메탈릭 서밋 화이트,235
(W) 나이키 에어 리프트 브리드 화이트,861
조던 1 레트로 하이 OG 유니버시티 블루,10695
컨버스 원스타 프로 클래식 스웨이드 팬텀 바이올렛,101
반스 뉴스쿨 블랙 트루 화이트,867
아디다스 아딜렛 클로그 올모스트 핑크,185
나이키 x 슈프림 에어포스 1 로우 바로크 브라운,10930
아디다스 아디폼 슈퍼스타 뮬 코어 블랙,171
조던 1 레트로 하이 OG 옐로우 오커,7671
나이키 코르테즈 미드나잇 네이비,150
뉴발란스 574 레거시 그레이,1412
(W) 골든구스 슈퍼스타 화이트 실버탭 스니커즈,15609
아식스 x 니들스 젤 NYC 블랙 퍼플,13
조던 1 x 트로피 룸 레트로 로우 OG SP 세일 바시티 레드,627
(W) 아디다스 가젤 볼드 트루 핑크 그린,760
아디다스 스페지알 핸드볼 쉐도우 브라운 화이트,56
아디다스 이지 부스트 350 V2 카본 벨루가,9257
리복 클럽씨 85 빈티지 레트로 화이트,134
나이키 에어맥스 97 OG 실버불렛 2022,9369
버켄스탁 애리조나 에센셜 에바 블랙 - 레귤러,37
뉴발란스 996 그레이,1544
(W) 나이키 P-6000 레이저 블루,179
아식스 x 키코 코스타디노브 젤 퀀텀 지엔치아 화이트 블루,223
나이키 코르테즈 바시티 레드 화이트 & 블루,64
(W) 아디다스 삼바 OG 클라우드 화이트 실버 그린,2713
(W) 조던 1 로우 듄 레드 블루 그레이,806
나이키 줌X 베이퍼플라이 넥스트% 3 프로토타입 화이트,3893
(W) 나이키 코르테즈 미드나잇 네이비,468
오니츠카 타이거 멕시코 66 SD 크림 버치,701
